Gene	Alteration	Origin	Entities	Comments	Reference	RefGene Group
FBLN2	Missense; Splice site; ; ; ; 	Somatic; 	[breast cancer, colorectal adenocarcinoma]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FBXO11	Missense; Frameshift; Deletion; ; ; 	Somatic; 	[DLBCL]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FBXW7	Missense; Nonsense; Deletion; Frameshift; ; 	Somatic; 	[colorectal, endometrial, T-ALL]; []	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FCGR2B	Translocation; ; ; ; ; 	Somatic; 	[ALL]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FCRL4	Translocation; ; ; ; ; 	Somatic; 	[B-NHL]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FEN1	; ; ; ; ; 	; Germline	[]; [breast cancer]	TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FES	Missense; Frameshift; ; ; ; 	Somatic; 	[HNSCC, ovarian carcinoma]; []	oncogene, TSG	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FEV	Translocation; ; ; ; ; 	Somatic; 	[Ewing sarcoma]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FGFR1	Translocation; ; ; ; ; 	Somatic; 	[MPN, NHL, salivary adenoma]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FGFR1OP	Translocation; ; ; ; ; 	Somatic; 	[MPN, NHL]; []	fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FGFR2	Missense; ; ; ; ; 	Somatic; 	[gastric, NSCLC, endometrial]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FGFR3	Missense; Translocation; ; ; ; 	Somatic; 	[bladder, MM, T-cell lymphoma]; []	oncogene, fusion	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
FGFR4	Missense; ; ; ; ; 	Somatic; 	[rhabdomyosarcoma]; []	oncogene	COSMIC [Somatic]; [Germline]	COSMIC_Cancer_Genes
